id;Tgl;Kab/Kota;Tingkat Harga;BMB;BMK;BPI;BPL;BNC;CMB;CMK;CRH;CRM;KBK;KTG;KLB;KLG;MTM;TMT;WRT;CHB
30469;20 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;22000;21000;31000;0;10000;0;5000;0;11000;6500;0
30506;21 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;26000;31000;31000;0;10000;0;5500;0;11000;6500;0
30569;22 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;26000;31000;31000;0;10000;0;5500;0;11000;6500;0
30583;23 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;26000;31000;31000;0;12000;0;5500;0;11000;6500;0
30750;27 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;26000;36000;37000;0;12000;0;5500;0;11000;6500;0
30753;26 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;26000;36000;37000;0;12000;0;5500;0;11000;6500;0
30807;28 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;26000;36000;37000;0;12000;0;5500;0;11000;6500;0
30878;29 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;26000;36000;37000;0;12000;0;5500;0;11000;6500;0
30932;30 Desember 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;26000;36000;37000;0;12000;0;5500;0;11000;6500;0
30998;02 Januari 2023;Wonosobo;Harga Produsen;0;18000;0;17000;0;0;28000;31000;42000;0;12000;0;5000;0;7000;4000;0
31000;01 Januari 2023;Wonosobo;Harga Produsen;0;18000;0;17000;0;0;28000;31000;42000;0;12000;0;5000;0;7000;4000;0
31050;03 Januari 2023;Wonosobo;Harga Produsen;0;18000;0;17000;0;0;28000;36000;45000;0;12000;0;5000;0;7000;4000;0
31068;04 Januari 2023;Wonosobo;Harga Produsen;0;18000;0;17000;0;0;32000;36000;45000;0;12000;0;5000;0;6000;4000;0
31135;05 Januari 2023;Wonosobo;Harga Produsen;0;18000;0;17000;0;0;32000;36000;45000;0;12000;0;5000;0;6000;4000;0
31178;06 Januari 2023;Wonosobo;Harga Produsen;0;18000;0;17000;0;0;32000;51000;60000;0;12000;0;7000;0;6000;4000;0
31277;09 Januari 2023;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;27000;51000;60000;0;12000;0;7000;0;6000;4000;0
31302;10 Januari 2023;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;27000;51000;60000;0;12000;0;7000;0;6000;4000;0
31303;08 Januari 2023;Wonosobo;Harga Produsen;0;18000;0;17000;0;0;32000;51000;60000;0;12000;0;7000;0;6000;4000;0
31304;07 Januari 2023;Wonosobo;Harga Produsen;0;18000;0;17000;0;0;32000;51000;60000;0;12000;0;7000;0;6000;4000;0
31365;11 Januari 2023;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;27000;47000;51000;0;12000;0;7000;0;6000;3500;0
31403;12 Januari 2023;Wonosobo;Harga Produsen;0;24000;0;16000;0;0;27000;47000;51000;0;12000;0;7000;0;6000;3500;0
31451;13 Januari 2023;Wonosobo;Harga Produsen;0;24000;0;16000;0;0;27000;47000;51000;0;12000;0;6000;0;6000;3500;0
31552;16 Januari 2023;Wonosobo;Harga Produsen;0;24000;0;16000;0;0;27000;36000;36000;0;12000;0;6000;0;6000;3500;0
31556;14 Januari 2023;Wonosobo;Harga Produsen;0;24000;0;16000;0;0;27000;47000;51000;0;12000;0;6000;0;6000;3500;0
31557;15 Januari 2023;Wonosobo;Harga Produsen;0;24000;0;16000;0;0;27000;47000;51000;0;12000;0;6000;0;6000;3500;0
31622;17 Januari 2023;Wonosobo;Harga Produsen;0;24000;0;16000;0;0;27000;26000;27000;0;12000;0;6000;0;6500;3500;0
31662;18 Januari 2023;Wonosobo;Harga Produsen;0;24000;0;16000;0;0;27000;26000;27000;0;12000;0;6000;0;6500;3500;0
31726;19 Januari 2023;Wonosobo;Harga Produsen;0;24000;0;16000;0;0;27000;26000;35000;0;14000;0;6000;0;4500;3500;0
